Protein A;Gene A;Protein B;Gene B;Score;PMID
Q08460;KCNMA1;P97457;MYLPF;0.332;19423573 
Q9Z2E1;MBD2;P62259;YWHAE;0.081;16615898 
Q9WTL8;ARNTL;P97460;NPAS2;0.126;23735699 
P97465;DOK1;O55032;NCK1;0.126;20697350 
Q9Z1X4;ILF3;P62259;YWHAE;0.081;16615898 
Q9Z0S1;BPNT1;P62259;YWHAE;0.081;16615898 
Q9R229;BMP10;P62259;YWHAE;0.081;16615898 
P97465;DOK1;P15208;INSR;0.309;10567556 
Q9QZ88;VPS29;P62259;YWHAE;0.081;16615898 
P97465;DOK1;P26450;PIK3R1;0.21;11031258 
P97465;DOK1;P29351;PTPN6;0.569;10585470 
Q08509;EPS8;P62259;YWHAE;0.081;16615898 
P62259;YWHAE;P33267;CYP2F2;0.081;16615898 
P62259;YWHAE;P19246;NEFH;0.081;16615898 
Q6PAJ1;BCR;P97465;DOK1;0.126;20697350 
P62259;YWHAE;P16882;GHR;0.081;16615898 
P62259;YWHAE;P17717;UGT2B17;0.081;16615898 
P62259;YWHAE;P16675;CTSA;0.081;16615898 
